district,lat,lon,ndvi,ndbi,ndwi,surface_temp_c,elevation_m,slope_degrees,texture_contrast,texture_homogeneity,land_type,year
Mumbai,19.109323547859606,72.78334525944724,-0.094,0.055,-0.185,41.01,73.32,9.95,0.33,0.523,urban,2014
Mumbai,19.09116702838659,73.36798517058494,-0.399,-0.109,0.727,27.99,60.32,2.27,0.535,0.617,water,2019
Mumbai,19.06017303216341,73.17171445026597,-0.133,-0.352,0.686,25.36,38.45,3.47,0.445,0.669,water,2015
Mumbai,19.224297527298802,72.8887938214724,0.131,0.105,0.067,35.1,22.44,5.05,0.309,0.205,urban,2021
Mumbai,19.294014178127004,72.74974356781222,0.078,0.48,-0.1,43.22,13.95,5.69,0.794,0.55,urban,2020
Mumbai,18.92405195547732,73.27325574087389,-0.063,0.175,-0.224,43.27,24.4,9.67,0.867,0.349,urban,2014
Mumbai,18.625294492764418,72.76398770514555,0.187,-0.323,-0.275,33.26,68.78,2.73,0.689,0.231,barren,2023
Mumbai,19.020712776858336,72.95424498995115,0.041,0.089,-0.156,36.17,19.23,3.09,0.88,0.447,urban,2011
Mumbai,19.172142649549897,73.11728117722174,0.293,0.045,-0.023,41.31,60.73,0.89,0.641,0.238,urban,2017
Mumbai,18.648665587581156,72.57679341993592,-0.016,0.405,-0.479,42.97,46.03,2.18,0.207,0.772,urban,2015
Mumbai,19.280031452591658,72.59515293221725,0.039,0.272,-0.119,33.63,28.97,2.39,0.271,0.447,urban,2015
Mumbai,18.842794549433833,72.8836258001464,0.047,0.135,0.184,44.41,80.01,2.42,0.154,0.39,urban,2014
Mumbai,18.58582755256979,72.78688258745849,0.611,-0.157,0.091,31.6,68.72,3.13,0.149,0.621,agricultural,2020
Mumbai,19.26892022922479,73.3650684723122,0.032,0.316,0.036,35.95,81.16,2.94,0.457,0.636,urban,2019
Mumbai,19.050434914147175,72.7114765970698,-0.01,0.297,-0.073,43.9,15.64,7.52,0.555,0.365,urban,2018
Mumbai,18.886235283744707,72.5594635977612,0.732,-0.144,-0.101,27.05,51.87,0.51,0.286,0.495,forest,2012
Mumbai,18.682213827588456,73.1535772544697,0.102,0.094,-0.319,38.03,13.33,9.28,0.794,0.625,urban,2014
Mumbai,19.104707319884053,72.41207685835172,0.123,-0.193,-0.42,34.44,83.43,5.77,0.617,0.475,barren,2020
Mumbai,18.739354449743157,72.48201308735189,0.156,-0.051,-0.195,35.8,54.54,1.33,0.653,0.677,urban,2013
Mumbai,19.202054708980803,72.45297871665167,-0.042,0.426,-0.13,38.07,10.67,6.5,0.794,0.697,urban,2023
Mumbai,19.410973785682963,73.08805150071234,0.545,-0.48,-0.32,23.09,26.0,3.85,0.854,0.566,forest,2010
Mumbai,19.5066722555624,72.40234440463632,-0.055,0.342,-0.307,40.31,34.1,9.98,0.311,0.367,urban,2010
Mumbai,19.22334213437309,72.5060499266147,-0.082,-0.21,0.718,31.8,97.56,0.65,0.757,0.588,water,2016
Mumbai,19.035343655593955,72.43280153515883,0.16,0.489,0.138,37.71,3.99,3.62,0.761,0.621,urban,2013
Mumbai,18.936059901930726,72.85556735491313,-0.244,-0.312,0.764,29.13,31.17,5.25,0.153,0.784,water,2019
Mumbai,18.615797127335654,72.97538233552346,-0.287,-0.227,0.631,29.72,26.81,3.16,0.2,0.593,water,2015
Mumbai,18.997300881633365,73.21653933676528,0.248,0.434,-0.186,37.97,7.7,6.71,0.757,0.347,urban,2017
Mumbai,18.62476631881314,73.22142879271026,0.251,0.046,-0.115,34.5,10.19,9.11,0.756,0.656,urban,2020
Mumbai,18.760248651572674,72.43470238755194,0.075,0.105,-0.117,33.19,75.66,5.82,0.249,0.313,urban,2014
Mumbai,19.172346497496775,72.65191288912415,0.135,0.404,-0.488,32.64,57.28,8.19,0.361,0.41,urban,2021
Mumbai,18.702110141678624,72.50755701341788,-0.089,0.341,-0.062,39.55,74.17,6.75,0.265,0.411,urban,2014
Mumbai,19.19428502101372,73.15916208875471,0.77,-0.157,0.174,27.03,18.41,1.06,0.75,0.547,forest,2016
Mumbai,19.533971066482454,72.41112357243551,-0.078,-0.166,0.328,29.98,85.09,2.86,0.612,0.388,water,2016
Mumbai,18.720240021118105,73.13667683185403,0.132,-0.0,-0.001,34.29,23.54,4.94,0.832,0.327,urban,2012
Mumbai,19.330827458362332,72.68716257644618,0.1,0.447,-0.397,40.4,23.29,1.57,0.647,0.556,urban,2011
Mumbai,19.491289940379275,72.64338556486626,0.679,-0.338,0.189,24.34,29.48,3.55,0.552,0.351,forest,2023
Mumbai,19.25282004363005,72.67928686987355,0.258,-0.038,-0.04,43.79,16.87,9.68,0.462,0.767,urban,2020
Mumbai,18.706320433172337,73.02112894951733,-0.025,0.082,-0.435,33.87,10.47,4.23,0.736,0.285,urban,2020
Mumbai,19.253124263482565,73.06037115246276,-0.021,-0.041,-0.383,44.01,82.15,3.54,0.625,0.522,urban,2011
Mumbai,18.739616204138276,73.069477639142,0.151,0.06,-0.473,37.92,89.1,5.69,0.766,0.795,urban,2019
Mumbai,19.486196124144698,72.76053339476844,0.07,-0.108,0.19,34.87,24.36,7.99,0.186,0.668,barren,2018
Mumbai,19.450743649656566,73.11513144142712,0.152,0.158,-0.194,36.03,76.21,9.36,0.853,0.305,urban,2018
Mumbai,18.604121506277924,72.75302134577302,-0.348,-0.473,0.434,31.3,63.32,7.21,0.306,0.632,water,2010
Mumbai,18.592912799921606,73.28726442738031,0.151,-0.012,0.076,35.06,65.23,4.05,0.577,0.264,urban,2011
Mumbai,19.078875520065587,73.17281028252673,0.008,0.392,0.2,34.75,26.52,6.63,0.872,0.749,urban,2018
Mumbai,18.95431560716526,72.46609696714677,0.554,-0.109,0.175,23.31,29.94,1.0,0.317,0.69,forest,2022
Mumbai,18.64606869572119,72.43432555737756,0.037,0.489,-0.059,37.41,16.65,9.86,0.757,0.369,urban,2011
Mumbai,18.74996370590334,72.73891605897582,-0.052,0.248,0.15,38.46,84.29,4.46,0.667,0.639,urban,2012
Mumbai,19.37239072261971,72.97311480162011,0.155,-0.058,-0.247,38.95,99.62,4.75,0.753,0.459,urban,2021
Mumbai,19.449534264245216,72.6141749122387,0.032,-0.336,0.602,29.04,41.74,1.44,0.175,0.21,water,2014
Mumbai,18.982773748572004,73.14006121370717,-0.115,-0.206,-0.276,33.06,16.25,9.6,0.781,0.718,barren,2022
Mumbai,19.29406816120086,72.82039370196745,-0.042,-0.095,-0.486,39.63,45.54,5.18,0.106,0.454,urban,2011
Mumbai,18.991627782029155,72.63600042912759,-0.061,-0.407,0.707,28.71,21.08,2.37,0.602,0.698,water,2014
Mumbai,19.05618351526189,72.86358560618962,0.02,-0.232,0.524,27.9,20.43,6.27,0.387,0.797,water,2018
Mumbai,19.03993626345489,72.62351858702257,0.126,0.45,0.061,37.86,71.87,5.86,0.494,0.315,urban,2012
Mumbai,18.675146112277623,73.00065404418339,0.266,0.101,0.167,38.93,63.15,5.43,0.204,0.425,urban,2012
Mumbai,19.09327216975431,72.4619130111771,0.079,0.367,-0.346,34.14,40.63,9.27,0.668,0.451,urban,2022
Mumbai,18.82145446253893,73.09526138264854,0.091,-0.233,0.443,28.69,10.95,9.66,0.24,0.589,water,2010
Mumbai,18.965389779666875,73.11031269924041,0.211,0.304,-0.07,43.6,7.86,3.31,0.299,0.793,urban,2017
Mumbai,19.541609831380885,72.71927038703157,0.174,0.027,-0.333,35.66,41.11,2.34,0.116,0.728,urban,2015
Mumbai,18.62086055762772,73.00024699046229,-0.297,-0.497,0.64,30.6,14.66,1.6,0.732,0.57,water,2023
Mumbai,19.05987726456426,73.27523232652209,-0.315,-0.353,0.685,30.49,40.04,9.47,0.425,0.663,water,2013
Mumbai,18.865150334454153,73.32996007836233,0.263,-0.048,0.156,42.73,79.13,2.01,0.744,0.71,urban,2019
Mumbai,18.719061952723404,72.39171451752605,-0.47,-0.44,0.569,28.61,64.52,0.17,0.868,0.227,water,2011
Mumbai,18.648213185335187,73.06213536106931,0.727,-0.127,-0.034,28.58,1.33,5.42,0.468,0.499,forest,2023
Mumbai,18.733203883556953,73.34003805748121,0.101,0.359,-0.16,33.94,64.83,1.72,0.798,0.568,urban,2022
Mumbai,19.03095687972774,73.13117560544649,0.107,-0.056,-0.061,35.29,80.37,8.18,0.883,0.501,urban,2012
Mumbai,18.666720882747832,72.64039547700195,-0.047,0.228,-0.118,33.16,41.8,8.53,0.785,0.26,urban,2017
Mumbai,19.21520182938996,72.61338253457589,0.025,-0.448,0.66,24.81,62.31,3.56,0.731,0.34,water,2012
Mumbai,19.27634788886657,73.13656813441796,0.185,0.424,-0.411,43.27,59.36,1.27,0.442,0.297,urban,2023
Mumbai,19.424203128552897,72.8706827104581,-0.058,0.204,0.07,44.17,51.35,9.5,0.529,0.437,urban,2013
Mumbai,18.814337210627997,73.1716550847156,-0.217,-0.304,0.723,30.66,40.35,3.33,0.494,0.544,water,2022
Mumbai,18.88308774336025,72.4128592502712,0.695,-0.366,-0.425,23.91,94.93,3.05,0.235,0.476,forest,2013
Mumbai,18.819467044066762,72.83546461270414,0.629,-0.282,-0.114,24.85,44.73,9.66,0.402,0.355,forest,2016
Mumbai,18.78097923282591,73.11969539112617,0.104,-0.418,-0.003,28.21,41.89,7.76,0.371,0.538,barren,2020
Mumbai,18.702637125518375,72.5562197892726,-0.079,0.412,-0.361,43.37,35.25,7.23,0.355,0.744,urban,2018
Mumbai,18.84574246587377,73.0800987210806,0.097,-0.051,-0.363,44.27,97.65,3.76,0.839,0.527,urban,2013
Mumbai,19.378273697147478,73.16442301473354,0.164,0.493,-0.314,40.74,5.2,1.14,0.103,0.8,urban,2015
Mumbai,18.594029008958913,72.48003217953406,0.104,0.08,-0.394,35.7,37.6,7.56,0.532,0.246,urban,2018
Mumbai,19.359160029027905,72.54581809759773,0.064,0.46,-0.054,42.42,46.64,3.62,0.187,0.726,urban,2013
Mumbai,18.76334679132679,72.41017077169175,0.105,0.192,-0.062,44.3,57.98,5.4,0.14,0.238,urban,2021
Mumbai,18.830663765889962,72.86665092643845,0.197,0.334,-0.405,42.87,15.48,3.01,0.299,0.423,urban,2013
Mumbai,19.08793863068193,72.90470762458153,0.063,0.492,-0.461,33.85,5.28,6.26,0.144,0.702,urban,2010
Mumbai,18.597981814809625,73.18039740533602,-0.163,-0.432,0.399,26.55,59.35,2.1,0.193,0.782,water,2011
Mumbai,19.267927363266594,72.53355153655144,0.215,0.078,-0.405,33.89,69.74,6.43,0.726,0.762,urban,2014
Mumbai,18.66641897779166,73.32555656725367,-0.003,0.405,-0.353,32.94,70.33,4.03,0.836,0.59,urban,2013
Mumbai,19.348840083426502,73.18087051163273,0.003,0.102,-0.218,32.67,49.65,1.23,0.421,0.41,urban,2021
Mumbai,18.681805024856516,73.00590659709304,-0.408,-0.353,0.487,25.21,79.85,7.07,0.252,0.42,water,2019
Mumbai,18.95470335558116,73.22084486502975,-0.051,0.492,0.046,37.07,57.86,9.11,0.543,0.305,urban,2013
Mumbai,19.332926845127016,72.98441620197,-0.113,-0.24,0.733,31.15,91.98,0.95,0.535,0.644,water,2022
Mumbai,18.976329868410758,72.92757692115622,-0.033,0.378,0.004,33.12,46.38,1.74,0.37,0.211,urban,2011
Mumbai,19.41853822939864,72.8785766058896,0.148,0.298,0.085,34.8,12.05,8.52,0.225,0.785,urban,2016
Mumbai,19.166866267395115,73.03042812377723,0.293,-0.042,-0.288,40.3,35.0,9.28,0.153,0.53,urban,2016
Mumbai,18.78351149538488,72.94651273643387,0.002,0.119,0.091,34.53,82.69,5.63,0.71,0.628,urban,2021
Mumbai,19.444098159867064,73.2589506816819,0.247,0.159,0.177,37.88,14.28,3.89,0.861,0.392,urban,2020
Mumbai,18.95836333106163,72.82082734532293,-0.06,-0.467,0.007,31.12,78.29,4.43,0.488,0.667,barren,2011
Mumbai,18.853522804902394,73.31111312702346,0.05,0.12,-0.132,42.51,36.18,5.24,0.637,0.362,urban,2021
Mumbai,18.657473897712944,72.57103923361205,0.189,0.246,-0.047,32.38,61.81,5.1,0.537,0.416,urban,2023
Mumbai,18.81912453042267,73.12245073162993,0.28,0.145,-0.173,32.69,3.76,7.17,0.53,0.505,urban,2013
Mumbai,18.993708566972977,72.45078509102615,-0.033,0.014,-0.178,35.72,24.75,6.45,0.621,0.695,urban,2017
Mumbai,19.496770849636075,73.34611913050041,0.009,0.488,-0.083,41.23,0.74,5.18,0.13,0.542,urban,2012
Mumbai,19.03146557200636,72.95984480281474,0.116,0.175,0.162,40.76,6.49,4.66,0.292,0.482,urban,2013
Mumbai,18.785348399384098,72.41711758512037,-0.286,-0.434,0.552,30.64,66.4,3.38,0.848,0.747,water,2011
Mumbai,19.035614751732925,73.00620390008358,0.197,0.397,0.178,43.57,60.05,5.3,0.122,0.348,urban,2023
Mumbai,19.56664273717218,72.65559112598775,-0.166,-0.203,0.44,28.52,8.81,4.14,0.7,0.616,water,2011
Mumbai,18.635762274178386,73.26629928043715,0.099,0.098,-0.192,43.14,68.42,8.82,0.263,0.724,urban,2018
Mumbai,18.775156897597068,72.80249418133141,-0.303,-0.374,0.556,31.53,4.78,3.52,0.785,0.438,water,2011
Mumbai,19.012070480219315,72.53460262414612,-0.269,-0.134,0.681,28.04,98.84,4.65,0.147,0.357,water,2023
Mumbai,19.350652619793017,72.93984475382759,0.279,0.36,-0.312,39.68,72.14,9.41,0.805,0.509,urban,2016
Mumbai,19.171276841104056,72.91689379412732,0.121,-0.031,-0.412,38.88,26.89,0.21,0.678,0.219,urban,2013
Mumbai,19.482653296951998,72.56894212907612,0.081,-0.306,0.332,28.41,84.11,9.97,0.444,0.392,water,2010
Mumbai,19.38746593915168,72.43305981693841,0.146,0.143,-0.471,36.51,26.52,6.86,0.859,0.361,urban,2010
Mumbai,19.28995794786477,73.30235860958226,0.015,-0.472,0.154,35.66,65.79,8.24,0.618,0.781,barren,2014
Mumbai,18.770840491655363,72.86903043191214,-0.19,-0.453,0.564,25.01,59.25,4.82,0.598,0.206,water,2022
Mumbai,19.542021459130208,72.50833438155736,0.28,0.13,-0.203,41.29,60.38,2.99,0.429,0.331,urban,2016
Mumbai,18.660766154426334,73.18532586956297,0.449,-0.49,-0.345,35.8,20.12,0.8,0.48,0.206,agricultural,2021
Mumbai,19.084479035308025,72.61060183864949,0.109,-0.134,0.098,34.83,5.23,7.83,0.776,0.679,barren,2018
Mumbai,18.642659829823305,73.37626080658563,0.238,0.336,0.187,34.02,22.57,2.12,0.734,0.312,urban,2017
Mumbai,18.65141217599279,72.62805872957085,-0.09,0.401,-0.244,42.94,55.46,9.02,0.841,0.205,urban,2014
Mumbai,19.070825951600547,72.46381611050637,0.168,0.433,-0.178,39.89,18.85,8.05,0.874,0.361,urban,2010
Mumbai,19.337005982949556,73.09071429186174,0.124,0.202,-0.399,37.75,33.41,5.22,0.569,0.205,urban,2018
Mumbai,18.730841394647456,72.73389394346138,0.047,-0.068,0.028,44.42,24.02,3.24,0.247,0.546,urban,2015
Mumbai,18.65387898909129,73.08450359621051,0.179,0.236,-0.229,37.46,56.21,0.06,0.163,0.729,urban,2019
Mumbai,19.245154155534852,72.78800372187267,0.268,0.062,-0.241,39.4,88.17,9.42,0.692,0.252,urban,2023
Mumbai,19.324999017404956,72.6500153971811,0.088,-0.071,-0.366,42.28,45.4,3.02,0.407,0.713,urban,2010
Mumbai,19.09928624930025,72.4944479027688,-0.429,-0.399,0.76,28.65,53.35,5.96,0.393,0.684,water,2011
Mumbai,18.677847265142383,73.10619393384745,-0.423,-0.285,0.768,26.47,86.95,7.64,0.298,0.222,water,2011
Mumbai,19.394360641395217,72.54937819504322,-0.02,0.123,-0.149,41.43,11.32,4.06,0.488,0.524,urban,2020
Mumbai,19.215374800542776,72.7156987810285,-0.015,-0.223,0.578,29.6,41.2,1.38,0.633,0.515,water,2016
Mumbai,18.8436684371943,72.78829869723828,0.263,0.252,-0.44,37.85,75.64,7.94,0.496,0.737,urban,2019
Mumbai,18.815369836342047,72.79566850801389,0.259,0.438,-0.02,43.17,8.88,8.65,0.356,0.307,urban,2019
Mumbai,19.469509971393318,73.1344892229024,0.0,0.092,-0.406,35.85,57.23,4.42,0.377,0.648,urban,2011
Mumbai,18.707709535206355,73.23644496852958,0.033,0.347,-0.394,33.69,34.56,8.08,0.297,0.238,urban,2019
Mumbai,19.270131653976236,72.39382464637222,0.154,0.052,-0.111,38.86,65.54,2.33,0.792,0.386,urban,2015
Mumbai,19.137876956241513,73.118583206722,-0.276,-0.359,0.572,24.58,79.01,2.18,0.642,0.682,water,2013
Mumbai,19.035346010172823,73.19566349434916,0.165,0.113,0.066,35.83,57.12,7.45,0.403,0.382,urban,2015
Mumbai,19.43302902833058,72.79280717685494,0.272,0.227,-0.037,43.74,9.85,2.32,0.667,0.694,urban,2016
Mumbai,19.172063931100595,72.46735223123568,-0.064,0.163,-0.338,35.79,77.23,0.76,0.762,0.457,urban,2020
Mumbai,18.736984431687375,72.94086438845396,0.035,-0.046,0.173,42.49,45.96,2.24,0.847,0.407,urban,2015
Mumbai,19.053109817693926,73.37226425668453,0.066,-0.498,0.419,31.51,17.11,1.13,0.556,0.717,water,2011
Mumbai,18.577428343079177,72.82728335292026,0.172,-0.056,0.195,37.3,28.74,5.58,0.343,0.252,urban,2019
Mumbai,19.36884004527353,73.28345679063645,0.135,-0.271,0.199,30.87,28.05,1.6,0.231,0.371,barren,2011
Mumbai,19.005831257513,72.66495769487707,0.29,0.039,0.117,36.27,11.28,8.7,0.609,0.299,urban,2013
Mumbai,19.30524024909757,73.25244707348898,0.195,0.172,0.192,32.71,35.5,4.82,0.503,0.39,urban,2012
Mumbai,19.043387335447925,72.66327961623864,0.063,-0.178,0.725,28.4,82.59,3.04,0.419,0.39,water,2011
Mumbai,19.00925093230903,73.17739186200279,0.077,-0.375,0.349,28.21,5.71,1.11,0.276,0.479,water,2015
Mumbai,19.05314637598905,72.50858113855358,0.196,0.156,-0.266,36.11,77.4,0.52,0.11,0.677,urban,2017
Mumbai,18.791269045785835,73.18880456630532,-0.359,-0.127,0.73,29.68,48.22,5.2,0.88,0.779,water,2021
Mumbai,19.480113660479507,72.53422921341574,-0.021,0.028,-0.027,37.27,93.15,0.89,0.509,0.751,urban,2022
Mumbai,19.48544366403663,72.57132380979546,0.047,0.271,-0.388,44.58,91.47,1.67,0.197,0.251,urban,2010
Mumbai,18.595401245618216,72.70470676849611,0.067,0.169,-0.081,32.93,22.68,9.31,0.827,0.669,urban,2018
Mumbai,19.108360234861316,72.68106428221418,0.151,0.065,0.137,40.24,7.19,9.09,0.866,0.247,urban,2020
Mumbai,19.431925189591297,72.81237814831647,0.057,0.008,-0.095,44.45,50.31,0.83,0.596,0.404,urban,2012
Mumbai,19.51919584969345,73.30943142475383,-0.023,0.015,0.038,35.45,76.72,2.06,0.357,0.479,urban,2011
Mumbai,19.06773794301899,73.27393624914613,0.583,-0.357,-0.395,26.08,46.06,9.01,0.844,0.43,forest,2012
Mumbai,18.838510290483168,72.43004717843132,0.223,-0.098,-0.276,37.48,22.97,2.0,0.13,0.586,urban,2019
Mumbai,18.867867177036402,72.55045731828109,-0.008,0.381,0.096,38.28,41.61,9.78,0.26,0.329,urban,2015
Mumbai,19.19155262319318,72.41725750656262,0.052,0.447,-0.069,37.36,93.44,0.48,0.268,0.54,urban,2020
Mumbai,19.523623658520666,72.85287086602263,-0.258,-0.24,0.649,29.11,32.06,0.94,0.442,0.277,water,2018
Mumbai,19.14232288016653,73.14099491199728,0.027,0.36,-0.151,36.03,81.2,8.67,0.638,0.228,urban,2023
Mumbai,19.395398230966492,72.73752490063657,-0.045,0.037,0.118,32.26,75.27,4.74,0.457,0.204,urban,2020
Mumbai,18.874150356276555,72.50416424540357,0.116,0.306,-0.008,44.43,53.13,4.0,0.863,0.585,urban,2014
Mumbai,19.12261493966367,72.81374697411859,0.237,0.117,-0.038,38.12,19.89,6.02,0.149,0.448,urban,2015
Mumbai,19.4185345083518,72.68090819375968,0.799,-0.169,0.04,22.31,19.41,5.37,0.848,0.701,forest,2020
Mumbai,19.50450775194378,72.95743711493978,-0.028,-0.312,-0.39,28.31,94.69,2.41,0.292,0.25,barren,2012
Mumbai,18.926642691457147,72.75451062777422,0.767,-0.135,-0.258,26.97,3.88,1.87,0.765,0.66,forest,2018
Mumbai,19.08026346079303,73.24334503637273,0.513,-0.5,-0.331,30.08,25.05,8.06,0.324,0.315,agricultural,2018
Mumbai,19.179803078843754,72.87104158805238,-0.003,-0.053,-0.251,41.72,55.07,8.17,0.868,0.676,urban,2011
Mumbai,19.02172982090287,73.21381861554505,-0.476,-0.106,0.492,25.22,66.67,2.84,0.569,0.552,water,2021
Mumbai,19.50864810054248,72.76075880642101,-0.341,-0.321,0.569,29.31,78.4,3.95,0.617,0.29,water,2018
Mumbai,19.06644909673595,72.49744678850054,0.192,-0.088,-0.356,38.33,87.83,5.27,0.844,0.49,urban,2015
Mumbai,18.707014618650465,72.9786571949975,0.221,0.048,0.13,43.84,94.33,5.2,0.642,0.667,urban,2012
Mumbai,19.079691761237445,72.5603251302531,-0.086,0.199,-0.392,34.38,36.5,4.32,0.599,0.245,urban,2010
Mumbai,19.224102127261073,72.39605838399923,0.13,0.282,-0.11,41.6,33.56,7.65,0.446,0.491,urban,2022
Mumbai,18.932723169308908,72.9701829939016,0.062,-0.253,-0.283,28.86,9.09,9.23,0.651,0.276,barren,2010
Mumbai,18.837671366637508,72.44469109439585,0.001,-0.483,0.418,31.12,0.92,2.01,0.867,0.568,water,2013
Mumbai,19.09311793085692,73.28578368705986,-0.089,0.047,0.117,37.41,72.03,9.18,0.426,0.315,urban,2020
Mumbai,18.986023786741743,72.85969491773287,0.222,-0.061,-0.015,39.43,90.75,1.22,0.527,0.728,urban,2022
Mumbai,19.062442387141875,73.11623903947591,-0.072,0.067,-0.273,44.29,28.27,4.61,0.637,0.297,urban,2023
Mumbai,19.509593143701252,73.09765953936949,0.247,0.276,-0.032,33.64,94.58,1.33,0.72,0.359,urban,2019
Mumbai,18.846348590495584,73.20046024303234,0.802,-0.412,-0.19,26.94,77.0,1.04,0.87,0.734,forest,2013
Mumbai,19.287121817015286,72.42966609813118,-0.189,-0.315,0.457,28.65,72.99,4.11,0.603,0.62,water,2022
Mumbai,18.67281873098722,72.85375670215106,0.016,-0.317,0.431,25.93,48.3,8.87,0.403,0.65,water,2016
Mumbai,18.804100377902387,73.29992331815487,0.297,0.362,-0.353,38.52,23.36,4.1,0.724,0.663,urban,2021
Mumbai,19.38873290430468,72.91946031994102,-0.144,-0.348,0.551,28.84,55.99,4.86,0.504,0.306,water,2022
Mumbai,19.50998741851262,72.56127962735515,-0.421,-0.194,0.766,31.58,36.9,1.36,0.515,0.268,water,2022
Mumbai,18.723453917426134,72.98935567564602,0.001,0.144,-0.232,42.33,45.63,1.71,0.314,0.505,urban,2021
Mumbai,19.471085172766315,73.3497534746235,-0.161,-0.214,0.769,31.3,94.61,2.45,0.205,0.381,water,2014
Mumbai,18.914554027437052,72.85113493359405,0.244,-0.034,0.163,37.5,0.93,4.42,0.137,0.526,urban,2021
Mumbai,18.860511959742446,72.42476119787695,0.145,0.421,-0.037,37.64,81.94,9.06,0.196,0.519,urban,2023
Mumbai,18.896662754736433,72.9300380134555,0.167,0.418,-0.386,42.56,85.34,9.14,0.312,0.742,urban,2017
Mumbai,19.381891169196855,72.45694960612994,-0.08,-0.074,0.004,37.78,25.63,1.9,0.636,0.2,urban,2023
Mumbai,19.006175908444312,73.25270869974398,-0.385,-0.346,0.542,26.84,32.07,9.64,0.613,0.214,water,2015
Mumbai,18.783823841458837,72.88177007974843,0.021,-0.043,0.031,39.88,57.03,0.54,0.212,0.574,urban,2022
Mumbai,18.736713349190985,73.35596546352947,-0.173,-0.387,0.774,30.74,72.24,0.78,0.185,0.496,water,2013
Mumbai,18.616585712134697,73.29142749400647,-0.037,0.192,-0.245,40.31,12.9,4.3,0.32,0.733,urban,2013
Mumbai,18.642405353460497,73.36704951404204,0.233,0.079,0.053,32.41,96.69,5.27,0.343,0.418,urban,2014
Mumbai,18.64401023195242,72.57148913002337,-0.476,-0.238,0.521,31.59,24.6,5.32,0.486,0.622,water,2022
Mumbai,18.92830888420918,72.61175777501751,-0.014,0.343,-0.368,39.46,21.52,8.62,0.854,0.511,urban,2020
Mumbai,19.088576215924213,72.64547431460412,-0.08,0.061,-0.042,38.94,94.4,3.96,0.655,0.494,urban,2020
Mumbai,18.744440551131916,73.13816460627608,-0.018,-0.312,-0.005,37.41,32.93,0.42,0.497,0.527,barren,2018
Mumbai,19.056134939638373,72.75090736910514,0.294,0.467,-0.362,43.38,70.45,4.54,0.532,0.71,urban,2010
Mumbai,18.696960662238492,72.4563976751954,0.097,0.247,-0.368,43.71,67.42,6.33,0.18,0.563,urban,2014
